flood,severity,location lat,location long,source,rainfall mm,river level m,wind speed kmh,temperature c,humidity percent,soil moisture percent,urban area,drainage index,available ambulance,available rescue teams,available medical kits,nearest hospital distance km,evacuation centres open
No,Moderate,29.335039,81.994797,NGO Report,270.99,5.12,146.93,22.63,86.6,88.2,0,0.223,0,13,19,6.85,5
No,High,28.942994,95.805686,Local Authority,143.42,1.78,124.96,29.89,23.18,92.64,0,0.337,7,10,125,14.15,5
No,Low,36.732848,74.637224,Local Authority,408.2,2.38,12.37,25.49,27.39,64.93,0,0.994,10,15,195,31.69,2
No,Severe,11.102538,94.776592,Satellite,154.34,6.01,5.38,11.64,29.24,80.82,0,0.755,3,1,8,25.76,10
No,Extreme,10.577333,74.827897,Citizen Report,143.04,2.03,142.01,23.48,60.75,16.4,1,0.442,19,5,171,38.37,6
No,Severe,33.22058,76.448621,Local Authority,132.72,0.32,54.75,22.24,36.53,78.2,1,0.358,9,2,163,33.33,7
No,High,25.551319,73.719835,NGO Report,248.74,9.56,111.57,10.59,26.68,41.55,0,0.415,0,5,2,45.16,10
No,High,16.19151,89.862779,Citizen Report,4.79,8.56,49.2,27.53,35.93,37.44,1,0.246,12,8,76,28.72,0
Yes,Extreme,11.088451,70.767922,Local Authority,189.78,13.84,84.47,41.17,46.98,35.69,0,0.455,16,6,53,49.9,8
No,High,27.714576,72.991448,Local Authority,414.04,13.44,50.84,43.25,84.02,83.52,1,0.124,3,14,189,23.28,6
No,Severe,15.992845,82.867467,Satellite,242.54,10.62,142.11,24.61,41.62,21.69,1,0.475,14,3,40,4.08,4
Yes,Extreme,9.811388,80.908393,IMD,49.56,11.62,10.94,22.59,90.17,66.84,0,0.297,11,7,122,19.28,0
Yes,High,13.938198,78.386645,Satellite,314.17,9.84,132.98,40.94,29.88,59.41,1,0.4,8,3,185,15.25,2
Yes,Severe,13.032608,89.458624,IMD,426.63,12.44,93.05,25.28,96.14,82.5,1,0.959,17,8,134,38.38,2
Yes,Extreme,28.3738,76.448425,Local Authority,250.3,10.26,53.36,44.78,43.88,91.31,1,0.686,14,6,144,0.55,8
Yes,Extreme,12.326867,91.484406,IMD,404.02,4.26,61.09,27.17,38.8,76.27,0,0.343,5,2,70,14.26,1
Yes,Severe,30.806976,73.880747,Local Authority,303.77,1.21,106.17,27.5,86.41,26.21,0,0.762,18,3,48,26.43,6
Yes,Severe,14.562667,68.227676,Local Authority,227.33,11.99,106.39,32.67,75.71,51.28,0,0.105,3,1,175,16.95,4
Yes,High,24.874196,95.216019,Satellite,399.21,11.34,109.03,15.65,45.92,69.9,0,0.737,16,11,13,39.31,1
No,Extreme,30.417367,73.111174,NGO Report,86.64,0.83,101.89,22.36,96.07,77.55,1,0.277,20,9,77,28.92,3
Yes,Moderate,19.366968,75.498137,Satellite,130.43,1.56,118.04,42.24,44.8,53.81,0,0.396,13,13,136,27.89,5
Yes,Extreme,28.899531,72.575454,NGO Report,145.98,0.38,87.97,14.9,98.85,82.14,0,0.541,2,11,190,7.37,4
No,High,27.182961,76.967904,NGO Report,211.01,5.91,83.36,30.21,93.35,97.56,0,0.006,0,10,91,30.31,0
Yes,High,22.121051,88.033962,IMD,290.84,8.68,92.55,15.69,61.53,36.11,0,0.158,4,0,108,33.71,0
Yes,Severe,34.017863,68.009037,NGO Report,222.68,1.01,0.8,11.76,25.26,12.42,1,0.799,19,5,51,3.43,10
No,Moderate,32.253613,90.456199,Satellite,363.24,9.85,0.01,29.74,68.64,85.39,1,0.592,11,4,37,21.09,9
No,High,13.357353,79.684102,Citizen Report,392.23,8.73,33.03,11.27,86.29,90.82,0,0.825,19,11,169,48.04,1
Yes,High,34.204302,73.331357,NGO Report,203.79,12.81,90.24,14.32,30.68,27.11,0,0.69,2,7,100,48.25,9
Yes,Extreme,24.058235,96.122639,NGO Report,10.44,14.15,82.1,11.8,88.37,10.14,1,0.427,18,14,127,29.56,1
No,High,18.515505,75.183952,NGO Report,78.48,1.48,100.87,36.84,72.81,66.5,1,0.759,19,4,41,27.43,2
No,Extreme,22.10402,83.947662,Satellite,375.18,6.18,96.77,30.66,65.5,99.63,0,0.634,1,4,139,7.09,9
No,Extreme,20.988174,76.034016,Satellite,54.96,1.37,103.63,13.04,56.2,11.94,1,0.666,17,8,135,29.34,9
No,Moderate,14.675282,91.039511,Local Authority,489.5,8.12,66.08,20.97,23.1,92.21,0,0.854,18,2,122,2.42,7
No,Moderate,17.950015,68.138112,NGO Report,206.08,6.82,59.85,24.13,65.59,58.93,1,0.036,13,15,172,15.25,7
Yes,Severe,11.456913,80.033695,IMD,85.87,1.1,145.64,37,49.21,42.67,1,0.129,11,4,120,1.87,4
No,Moderate,31.131288,68.828708,Citizen Report,47.47,0.11,9.97,23.36,38.75,85.89,1,0.414,16,8,0,12.12,5
Yes,Extreme,9.821415,71.322084,Local Authority,15.56,4.57,4.73,11.62,46.52,64.82,0,0.612,13,11,98,16.57,6
No,Severe,24.16106,92.277912,Citizen Report,253.72,13.61,30.28,37.64,28.13,72.13,1,0.315,8,4,88,22.61,3
Yes,Extreme,11.510067,83.278303,NGO Report,212.35,7.95,7,39.88,96.79,13.61,0,0.034,18,9,113,27.96,1
Yes,Low,21.506782,96.214319,Citizen Report,328.29,7.89,137.69,15.2,76.07,84.35,0,0.97,3,15,177,25.26,4
Yes,High,16.110708,74.852783,NGO Report,154.32,11.26,148.05,23.29,31.37,34.47,0,0.297,11,10,34,48.08,0
Yes,Moderate,21.932628,95.872559,IMD,477.65,2.36,66.94,17.78,62.94,39.79,0,0.446,7,3,200,7.75,8
Yes,Extreme,19.146184,79.852422,Citizen Report,311.25,4.17,2.73,10.21,94.54,52.07,0,0.571,15,12,7,23.83,0
No,Moderate,29.091042,90.475902,Citizen Report,35.64,7.01,115.56,19.68,26.66,56.31,1,0.305,12,8,131,17.09,2
Yes,Moderate,14.244453,71.823308,Satellite,430.33,7.17,51,41.85,68.61,80.58,0,0.891,6,3,139,25.85,4
No,Extreme,35.498838,93.63658,Local Authority,174.42,14.68,96.09,23.39,21,57.58,0,0.401,10,15,124,48.21,4
No,High,13.501126,93.283641,Satellite,215.93,1.73,125,35.93,73.65,60.47,1,0.214,16,10,163,3.08,8
No,Low,10.944439,85.592601,NGO Report,318.67,0.43,61.79,40.67,34.01,66.23,1,0.847,10,10,167,13.35,2
No,High,12.538527,74.215108,Citizen Report,240.44,5.32,105.66,16.24,52.52,22,0,0.858,20,14,147,26.36,4
No,High,22.780437,80.491973,Satellite,465.57,6.11,128.67,12.57,65.56,21.74,0,0.712,19,10,178,45.81,5
Yes,Low,11.204302,77.039849,NGO Report,360.27,5.93,82.8,27.45,63.3,15.1,1,0.836,16,4,144,46.17,0
No,Severe,17.658394,88.039074,Local Authority,328.84,12.63,6.59,24.77,45.48,13.31,1,0.823,0,6,198,21.58,2
No,Extreme,31.896724,79.808053,Local Authority,221.26,4.79,89.06,44.86,55.09,39.28,1,0.87,0,1,110,29.72,10
No,Moderate,14.686965,85.411266,Satellite,37.36,4.28,81.8,26.44,34.51,27.71,1,0.214,2,5,124,3,4
No,Extreme,34.392879,96.554477,Satellite,222.97,0.6,77.37,42.9,43.88,33.54,0,0.381,14,15,136,41.69,1
No,High,32.738776,83.30386,Citizen Report,156.49,6.19,63.69,22.37,85.23,19.73,1,0.883,18,11,120,3.47,7
No,Low,32.804625,94.89356,Citizen Report,298.09,11.72,68.43,20.28,85.11,39.34,1,0.61,19,8,16,35.63,10
Yes,Low,26.94957,92.042751,NGO Report,47.49,12.26,137.17,16.22,74.2,62.01,1,0.26,4,8,15,44.15,2
No,Low,32.40205,74.665125,IMD,206.86,7.59,58.82,23.11,98.29,60.46,1,0.823,3,7,88,40.26,4
No,Low,22.014072,70.794897,Satellite,141.37,1.13,129.36,37.57,48.56,83.68,0,0.321,7,9,119,48.56,0
Yes,High,10.87006,78.855889,Citizen Report,496.86,2.86,35.13,30.44,46.82,57.39,1,0.224,4,10,110,27.35,6
No,Moderate,25.062432,78.608963,Citizen Report,460.97,2.41,131.62,16.84,61.2,69.78,1,0.783,8,14,118,2.22,4
No,Severe,30.579193,81.090455,IMD,264.06,3.34,40.96,36.21,46.62,39.66,1,0.497,16,10,176,32.89,3
No,Moderate,26.570982,87.641807,Citizen Report,177.89,9.77,66.6,20.16,79.78,52.89,1,0.209,15,10,187,43.67,3
No,High,23.303896,82.972146,IMD,421.21,11.99,133.65,35.79,23.87,85.58,1,0.685,17,3,21,24.16,3
No,Extreme,10.537291,80.063664,IMD,132.49,12.97,42.13,11.18,74.72,95.22,0,0.233,20,11,22,7.56,8
Yes,High,13.243578,84.851662,Satellite,21.43,11.06,126.25,16.41,21.89,22.6,1,0.519,13,1,49,10.17,2
Yes,Severe,8.620481,78.364597,Satellite,319.01,1.19,38.9,33.27,93.18,92.25,0,0.316,2,8,177,28.39,3
Yes,High,30.111829,84.443746,Citizen Report,297.97,5.51,115.6,43.17,91.37,93.23,0,0.258,2,15,181,2.81,5
Yes,Low,8.414178,85.965747,NGO Report,265.32,13.89,89.1,40.42,79.71,77.4,0,0.828,4,10,183,34.79,7
Yes,Extreme,29.915859,85.506954,Citizen Report,143.14,8.76,136.36,19.67,35.35,60.01,0,0.323,9,13,26,5.92,9
No,High,24.345131,95.209807,Citizen Report,382.1,8.64,115.57,44.6,65.21,16.11,0,0.388,13,14,46,2.5,0
No,Low,10.453534,68.326711,Satellite,311.05,14.78,88.97,43.91,24.45,21.41,0,0.65,13,10,103,13.92,4
Yes,Extreme,22.943695,85.112949,IMD,450.55,11.81,73.14,27.92,77.3,26.98,0,0.651,6,6,102,42.12,8
Yes,Severe,16.819195,95.29229,Citizen Report,409.2,5.02,61.26,17.43,82.24,33.56,1,0.081,1,14,36,38.86,7
No,Severe,16.951442,83.248621,IMD,335.48,3.42,31.53,38.61,79.65,49.86,1,0.032,14,6,149,8.65,8
No,Moderate,24.097532,77.345819,Citizen Report,483.24,5.58,92.34,18.8,68.76,59.21,1,0.971,6,15,39,46.18,1
No,Extreme,11.948015,72.913106,Satellite,321.68,7.21,45.48,40.39,69.01,36.52,0,0.494,8,14,124,24.07,3
No,Severe,20.281306,89.74794,Satellite,1.02,13.84,60.2,40.44,86.23,70.93,1,0.553,14,6,130,35.89,10
No,Moderate,31.207036,94.979773,Satellite,107.8,9.26,43.77,34.7,27.54,89.05,1,0.787,15,11,66,11.36,0
No,Low,10.00588,77.327185,IMD,218.79,0.41,126.84,19.79,33.66,67.88,0,0.878,11,14,96,39.84,2
Yes,High,15.590184,73.903815,IMD,447.07,14.99,112.22,42.51,36.86,63.94,0,0.858,19,12,34,33.96,2
No,Severe,23.610554,76.206071,NGO Report,131.75,12.8,62.59,38.13,48.88,59.98,1,0.465,0,4,153,23.14,9
Yes,Low,26.278295,89.60104,Satellite,281.54,10.48,11.03,43.23,92.84,75.4,0,0.496,14,4,19,9.34,9
Yes,Extreme,34.814337,96.88195,IMD,225.36,1.77,25.67,24.12,89.73,60.13,1,0.544,2,12,75,1.58,8
Yes,Low,9.074784,94.467829,Local Authority,361.02,4.11,100.87,35.27,60.24,74.52,1,0.052,0,2,6,18.58,10
No,Low,10.318183,90.904759,Satellite,434.23,5.53,72.09,38.06,45.98,73.41,1,0.016,5,8,69,20.46,1
No,Moderate,29.193226,82.258534,Local Authority,469.91,13.62,132.08,10.37,53.02,80.92,1,0.693,14,11,153,8.09,9
Yes,Severe,30.380284,92.216305,Local Authority,396.74,10.64,85.81,25.98,62.12,87.46,0,0.616,19,14,5,37.98,10
No,Extreme,10.18051,79.262467,Local Authority,407.94,4.98,139.29,44.46,35.75,95.8,1,0.374,1,3,72,5.13,7
No,High,28.107888,87.516401,IMD,191.27,7.19,9.02,28.93,66.58,76.36,1,0.921,11,4,104,5.4,0
Yes,High,31.801193,80.016862,Satellite,462.09,10.29,112.82,20.56,31.44,36.73,0,0.335,18,2,169,26.52,7
No,High,10.432634,85.514045,Local Authority,424.47,11.15,8.45,12.04,47.49,34.92,1,0.569,6,4,42,36.01,4
No,Low,27.108175,71.133086,IMD,453.76,0.44,103.39,27.79,48.06,17.66,1,0.092,0,2,165,18.81,9
No,High,24.02793,85.277105,Satellite,85.76,10.78,11.06,30.11,38.87,79.88,0,0.056,19,3,110,32.66,4
Yes,Low,13.921046,94.088807,Citizen Report,17.6,12.87,63.45,11.81,20.23,35.96,1,0.256,9,14,176,5.1,4
No,Severe,8.433072,68.145328,NGO Report,26.59,9.22,104.55,37.44,93.8,80.5,0,0.051,4,12,28,42.13,1
No,Severe,16.152104,69.227664,Citizen Report,239.97,14.11,137.64,17.97,58.83,24.5,1,0.968,8,4,136,29.31,5
Yes,Low,35.318265,81.452886,IMD,387.93,1.96,122.38,40.31,50.97,18.81,0,0.66,10,6,83,26.86,3
No,Extreme,12.64885,69.994094,NGO Report,194.07,12.91,133.53,34.18,34.62,63.18,0,0.427,5,4,11,29.11,5
Yes,High,34.890682,84.928666,Local Authority,471.5,9.44,95.19,23.65,94.64,11.73,0,0.66,7,4,117,10.33,10
No,Severe,24.477722,68.419298,Satellite,267.02,6.21,49.37,43.61,72.31,16.02,1,0.208,4,13,94,49.01,7
No,Moderate,21.964776,79.163855,Citizen Report,108.99,8.06,73.58,28.76,43.12,20.51,0,0.453,11,8,63,26.24,10
Yes,Low,13.794171,69.612744,Local Authority,448.82,12.14,78.1,23.8,73.1,35.13,0,0.742,9,10,52,18.04,3
No,Low,8.150453,89.349328,NGO Report,329.94,10.35,104.47,29.76,62.42,29.56,0,0.583,14,6,108,22.97,2
Yes,Extreme,15.855053,89.761455,IMD,92.35,1.49,3.06,43.5,39.78,33.44,0,0.897,17,11,108,10.6,6
No,Severe,23.32638,68.456536,Citizen Report,161.34,12.79,1.82,26.95,39.82,13.03,0,0.029,15,2,67,24.56,4
Yes,Extreme,28.67571,70.305571,Satellite,407.08,6.84,124.43,44.58,32.95,25.07,0,0.674,8,0,56,22.37,9
No,Severe,17.062278,83.404833,NGO Report,226.16,6.26,79.78,10.5,28.33,62.08,1,0.96,3,12,68,1.52,2
No,Low,11.570985,79.760089,Citizen Report,102.57,2.13,85.45,16.77,50.37,23.96,0,0.901,8,4,173,3.28,10
Yes,Extreme,28.637156,77.475104,Local Authority,462.37,11.1,59.47,14.67,28.91,98.06,1,0.62,15,1,14,18.51,4
No,Severe,27.305424,77.532108,Local Authority,413.88,1.9,68.79,23.54,47.58,71.33,1,0.981,17,15,32,3.96,6
No,Low,25.654346,72.164787,Satellite,97.6,11.57,27.46,29.93,67.32,24.26,0,0.688,2,6,160,12.03,10
Yes,Low,21.694792,76.977108,IMD,235.73,14.41,53.32,33.41,22.49,61.6,0,0.289,2,8,169,25.27,8
Yes,Moderate,14.334311,82.235558,Citizen Report,150.08,10.21,10.56,32.09,51.57,32.56,0,0.333,17,13,98,48.79,10
No,Extreme,15.041922,84.345252,Local Authority,413.07,5.39,4.63,16.01,97.2,29.68,0,0.629,5,6,142,45.82,8
Yes,Low,27.244581,84.615231,NGO Report,226.43,4.97,16.79,32.77,55.03,12.93,1,0.149,18,12,59,12.43,0
No,Moderate,19.180347,71.839757,Satellite,397.31,3.61,72.36,44.59,76.66,29.44,0,0.809,3,8,101,42.03,2
No,Moderate,32.087856,81.652854,IMD,129.96,10.38,89.03,22.46,93.18,97.83,1,0.577,4,0,62,4.07,1
Yes,Low,21.748266,96.784262,Satellite,175.05,8.18,78.34,17.4,96.44,19.09,0,0.095,14,5,161,34.01,9
No,Severe,17.583166,84.320516,Citizen Report,332.94,1.49,89.83,21.77,71.36,61.47,0,0.965,13,8,175,15.65,4
No,Low,24.893809,77.134502,IMD,18.63,7.13,49.88,36.1,87.67,66.72,0,0.329,3,15,11,45.43,5
Yes,Extreme,25.319507,72.534767,Citizen Report,252.58,11.26,1.58,39.69,29.68,75.3,0,0.229,1,4,34,34.71,8
Yes,Severe,12.914733,81.928497,Citizen Report,414.9,14.04,7.22,26.69,71.62,78.65,0,0.388,17,2,156,48.35,6
No,Low,17.047545,90.188138,Citizen Report,194.75,9.12,40.45,26.45,49.64,74.39,0,0.515,4,7,187,28.5,3
Yes,Severe,30.699079,85.844007,Satellite,105.69,10.73,83.2,12,67.46,83.75,0,0.264,20,12,198,29.74,3
Yes,Moderate,35.23496,95.014024,Satellite,166.78,11.23,22.7,35.27,52.11,19.44,1,0.953,4,14,164,28.76,1
Yes,Extreme,19.163335,88.465675,IMD,82.1,1.21,52.05,40.47,93.36,83.55,1,0.583,8,6,106,25.96,7
Yes,Extreme,13.911886,82.390235,IMD,198.24,6.02,114.93,23.29,84.74,34.82,0,0.972,14,15,176,29.54,2
No,Extreme,14.117392,92.762449,NGO Report,254.85,9.42,25.08,25.35,58.76,28.24,1,0.84,12,2,78,31.92,9
Yes,Low,27.606527,77.183516,Satellite,325.53,2.95,25.6,24.96,63.79,21.41,0,0.314,17,9,161,10.13,10
Yes,Extreme,36.527059,91.466288,NGO Report,46.3,1.38,77.29,16.56,96.73,69.02,1,0.563,3,12,142,4.25,8
Yes,High,35.958713,72.041015,Citizen Report,428.94,14.82,142.93,25.18,80.47,23.93,0,0.548,13,13,30,17.58,3
Yes,High,25.073978,88.992032,Local Authority,91.57,9.6,91.5,36.31,37.5,49.8,0,0.703,10,1,65,4.03,3
No,Low,14.379503,84.266713,NGO Report,339.5,5.86,133.1,12.66,50.91,49.66,1,0.193,15,1,124,36.52,10
No,Low,31.71592,68.164873,NGO Report,229.17,6.67,20.26,20.88,67.29,17.6,1,0.361,11,2,104,34.48,5
Yes,Extreme,20.887169,92.654715,Citizen Report,195.91,11.81,148.15,30.03,34.99,17.95,0,0.656,11,5,138,42.61,10
No,Moderate,34.290202,74.09152,IMD,284.95,5.81,4.99,37.42,74.85,30.49,0,0.685,9,13,41,39.93,3
Yes,Severe,10.803329,73.118591,Citizen Report,305.77,2.97,66.05,30.52,95.16,85.6,1,0.385,8,2,36,46.17,4
No,Low,27.685326,84.240191,Citizen Report,88.54,10.54,94.8,29.29,31.06,62.04,0,0.526,15,1,74,37.07,4
No,Severe,21.117614,88.617606,Citizen Report,271.89,5.01,33.16,32.15,95.55,88.15,0,0.161,19,0,25,20.94,5
No,Moderate,8.892845,84.701637,Local Authority,91.03,13.99,33.7,23.97,41.5,78.88,1,0.402,0,11,82,44.38,6
No,Severe,31.567525,83.897896,Citizen Report,56.16,3.02,39.2,18.14,44.9,40.83,0,0.279,10,13,26,9.65,8
Yes,Moderate,20.641365,71.192883,Satellite,288.72,10.84,60.69,11.78,92.42,80.87,0,0.495,15,2,75,35.42,9
No,Severe,15.32783,73.48864,Citizen Report,232.9,5.81,126.58,11.02,72.22,59.45,1,0.782,9,4,192,23.49,9
No,Extreme,26.333698,77.32216,Satellite,336.13,4.32,127.95,33.09,30.84,47.47,1,0.818,8,10,125,32.15,4
Yes,Extreme,23.330973,73.617682,NGO Report,255.69,0.69,35.02,35.25,20.69,48.85,0,0.531,18,3,164,31.72,7
No,Moderate,13.519655,83.60301,IMD,145.81,8.21,66.19,29.73,65.4,90.31,1,0.523,15,15,20,9.93,6
Yes,Moderate,13.591407,79.04489,IMD,366.92,11.9,136.52,29.6,84.35,56.45,1,0.951,3,7,118,45.68,8
No,High,31.872343,84.813429,Citizen Report,497.76,6.27,112.94,38.17,35.09,18.57,0,0.298,5,9,78,30.04,3
Yes,High,23.21109,78.53271,Local Authority,222.26,6.2,119.07,33.53,22.8,56.74,1,0.867,7,3,188,12.08,1
No,Extreme,35.236517,95.273004,IMD,40.66,1.35,143.59,37.95,92.6,60.66,1,0.239,10,1,75,37,9
Yes,Severe,33.657522,80.120346,Local Authority,330.65,1.6,14.84,34.27,50.74,52.33,1,0.019,8,9,99,19.05,10
No,Moderate,21.184077,81.866069,NGO Report,273.79,12.8,110.2,18.16,56.78,26.44,1,0.23,16,11,31,42.52,4
No,Low,34.541684,90.51757,Satellite,286.87,6.37,123.7,28.65,87.63,59.73,1,0.858,13,15,145,4.19,0
No,Severe,32.519582,85.719051,Satellite,326.11,2.83,149.16,44.96,40.91,45.15,0,0.564,11,12,161,30.81,5
No,Severe,12.069501,74.037486,NGO Report,406.26,9.54,15.02,37.56,81.19,59.81,1,0.404,11,0,83,26,8
Yes,Extreme,19.913778,69.250077,Local Authority,134.81,9.02,143.01,13.49,48.23,62.65,0,0.079,17,8,107,28.49,5
No,Extreme,24.455778,68.262828,Citizen Report,4.4,12.45,136.65,20.65,21.83,80.63,0,0.69,2,15,148,19.89,1
Yes,Severe,32.145969,80.126003,Citizen Report,148.16,5.18,66.28,12.2,42.11,50.57,1,0.385,5,7,119,15.88,10
Yes,Low,9.525769,76.395974,Citizen Report,188.45,2.69,89.12,16.42,66.1,61.29,0,0.575,11,15,30,21.91,5
No,Severe,28.056975,77.249719,NGO Report,87.9,0.89,146.23,28.93,78.96,25.86,1,0.046,5,5,80,27.42,4
No,Low,14.824072,78.701162,IMD,490.39,6.71,44.85,28.86,98.44,34.46,1,0.053,6,9,141,14.55,9
No,Extreme,22.269964,96.068237,Local Authority,493.95,9.58,35.71,10.42,79.05,80.41,1,0.501,0,15,89,35.66,8
Yes,Moderate,34.039721,82.819647,Citizen Report,492.12,0.33,38.08,18.78,94.88,86.78,0,0.938,19,3,45,21.29,1
No,High,36.526948,78.072082,Citizen Report,456.43,8.42,8.41,16.78,31.28,38.46,1,0.698,1,13,108,10.25,3
No,Moderate,25.396668,87.704911,Citizen Report,427.49,11.12,29.72,34.22,97.1,83.79,0,0.677,5,7,167,10.99,10
Yes,Extreme,34.068075,72.230429,Satellite,210.59,10.79,53.1,10.17,99.2,47.99,0,0.264,4,12,109,23.64,9
No,Low,21.707128,72.673726,Citizen Report,121.76,13.01,131.96,28.06,96.92,43.08,0,0.841,12,8,55,23.66,1
Yes,Low,35.637771,90.06197,NGO Report,184.75,14.2,133.47,34.31,90.25,34.98,1,0.388,11,1,188,8.68,7
Yes,Moderate,36.255993,88.842013,Citizen Report,182.15,8.43,19.73,21.13,79.01,70.87,1,0.959,16,7,70,40.41,7
No,Low,17.890623,91.341349,Citizen Report,1.84,12.18,42.67,24.33,69.13,75.18,0,0.963,13,6,33,3.52,4
No,Low,25.755162,73.045196,Citizen Report,394.59,10.29,27.92,23.07,55.34,22.51,0,0.732,4,5,54,19.67,6
No,Moderate,11.264971,88.255335,NGO Report,335.1,10.74,98.13,35.9,64.3,14.1,1,0.001,13,0,51,10.84,3
No,High,17.670785,85.014629,Citizen Report,257.71,6.92,9.12,20.08,38.36,19.6,0,0.573,3,5,171,28.89,10
Yes,Low,34.687279,77.963188,Local Authority,378.28,3.71,64.44,43.84,28.62,50.72,0,0.74,5,11,158,35.25,9
No,Severe,24.907619,84.975752,NGO Report,116.68,5.36,148.63,32.26,78.33,49.22,1,0.118,9,0,125,26.6,5
Yes,Moderate,17.970796,75.407329,Citizen Report,346.8,0.16,89.88,19.16,88.92,66.97,0,0.713,2,0,140,2.32,1
No,High,10.765884,90.262073,Citizen Report,309.43,4.42,24.36,32.9,44.58,54.62,0,0.244,4,5,47,36.09,3
Yes,High,20.778584,90.405048,NGO Report,80.74,14.65,43.17,35.49,98.47,12.5,1,0.013,5,14,133,1.16,1
Yes,Moderate,35.83841,74.766187,Citizen Report,242.66,10.87,34.75,11.49,85.06,64.49,1,0.064,20,1,193,39.29,6
No,Moderate,18.66206,79.007676,IMD,42.86,5.69,96.34,23.98,73.54,32.21,1,0.148,11,0,134,27.4,10
No,High,29.43035,86.261887,IMD,365.74,7.6,145.19,35.66,84.77,96.33,0,0.229,6,4,160,2.72,2
Yes,Extreme,32.291746,86.091067,Satellite,437.49,7.54,38.13,24.92,32.98,12.52,0,0.04,0,4,179,12.37,10
No,Low,8.3626,88.343272,IMD,456.37,9.21,99.83,36.62,32.75,47.57,1,0.536,18,2,70,24.43,8
No,Severe,16.83246,78.868119,Local Authority,151.22,11.68,51.01,42.6,74.76,62.82,0,0.249,16,4,137,48.65,10
No,Moderate,26.019968,96.320081,Satellite,383.43,0.8,35.69,28.52,47.66,60.51,1,0.204,10,9,124,38.89,9
No,High,24.314593,88.155981,IMD,445.09,9.8,48.42,13.21,86.49,35.54,1,0.051,5,9,152,13.01,6
Yes,Severe,18.909467,87.922958,Local Authority,267.23,6.54,92.39,30.94,57.92,92.58,0,0.177,7,1,52,19.11,3
No,Severe,30.899352,95.918698,Satellite,415.8,12.72,117.07,37.74,54.87,13.79,1,0.488,11,14,149,43.61,0
Yes,Moderate,31.830705,68.477242,Local Authority,436.34,8.91,15.77,21.1,51.42,55.97,0,0.336,6,11,46,7.46,5
No,Moderate,12.377454,89.99513,Local Authority,216.96,5.26,22.85,31.6,38.22,84.71,1,0.907,5,7,185,29.36,8
No,Severe,9.706742,82.291026,IMD,63.76,5.42,40.32,25.35,69.04,93.77,1,0.65,14,1,27,5.4,6
Yes,Low,13.114149,75.847602,IMD,366.03,2.39,73.85,23.99,91.62,76.79,1,0.912,17,15,85,42.33,4
Yes,High,12.633279,73.793964,Local Authority,376.87,7.49,86.19,14.18,49.1,55.04,0,0.635,15,0,95,2.02,5
No,High,16.227681,75.54129,Citizen Report,425.77,2.25,24.42,13.22,72.13,12.13,0,0.978,17,9,27,16.36,10
No,Low,21.946321,83.82322,IMD,263.27,7.6,142.11,27.15,25.52,71.11,0,0.562,4,4,113,47.68,3
Yes,High,16.735288,88.132471,Satellite,318.26,6.47,28.8,30.56,74.81,10.66,1,0.686,13,3,45,32.64,7
No,Low,36.324537,72.131199,IMD,243.35,6.29,23.4,19.28,45.54,80.12,0,0.866,0,11,109,39.3,5
No,Moderate,33.919762,94.891911,Satellite,138.46,3.92,96.13,25.73,77.33,16.43,1,0.968,12,8,96,25.42,1
No,Moderate,24.477491,79.967251,Satellite,441.36,7.08,111.9,21.21,67.48,34.6,0,0.39,20,1,114,45.57,6
Yes,Low,25.218849,87.262483,Local Authority,45.24,1.46,2.82,36.54,38.3,55.58,1,0.925,1,11,5,33.79,10
No,Moderate,35.573452,91.993856,IMD,161.4,4.44,127.28,15.84,44.37,42.67,0,0.678,17,1,7,12.34,6
Yes,Extreme,9.543955,83.129433,Citizen Report,122.61,14.3,129.11,14.8,40.62,27.6,1,0.387,20,8,106,31.61,4
Yes,Extreme,33.88088,74.371235,Satellite,11.44,0.06,45.91,44.54,42.65,38.14,0,0.764,16,4,198,6.63,0
Yes,High,18.300137,92.916786,Citizen Report,140.23,13.59,24.33,16.5,53.36,11.73,0,0.382,12,0,110,2.44,1
No,Low,15.948814,96.416098,IMD,191.65,12.57,107.92,19.92,57.18,65.15,1,0.278,3,10,58,45.39,7
No,Extreme,18.574413,88.575483,IMD,197.91,11.85,31.06,38.96,97.53,70.19,0,0.947,7,3,13,3.27,1
No,Extreme,31.136638,75.590291,Satellite,299.78,9.41,67.53,24.11,85.17,19.94,0,0.482,15,0,35,3.31,9
Yes,Moderate,20.144268,87.290094,Citizen Report,160.24,3.81,92.16,38.75,35.57,96.05,1,0.178,9,7,130,48.27,10
No,Extreme,19.860844,78.196831,NGO Report,23.68,6.88,130.47,29.87,31.62,25.52,0,0.256,10,4,104,14.68,4
Yes,High,20.968943,85.234539,Local Authority,486.04,6.19,88.69,17.28,27.06,20.26,0,0.047,13,6,58,15.41,5
Yes,Extreme,23.891601,83.210874,Satellite,72.29,7.54,90.51,43.53,49.88,84.54,1,0.189,11,0,82,17.24,4
Yes,High,30.8665,87.323366,NGO Report,306.91,4.93,36.18,20.95,91.11,10.47,0,0.077,13,5,99,29.01,0
No,Severe,26.402907,80.979777,NGO Report,296.54,13.95,32.57,25.51,95.8,66.76,0,0.967,4,8,185,29.94,5
No,Extreme,15.412461,88.9012,Citizen Report,356.97,11.11,36.03,25.84,75.33,58.35,0,0.801,20,11,58,27.17,4
